objectid,statename,distcode,distname,no_of_schools,schboytot,schgirtot,enrtot,sclstot,stchtot,roadtot,splaytot,sbndrtot,sgtoiltot,sbtoiltot,swattot,schools_with_electricity,schools_with_computer,estdtot,mdmtot,mdminpremisestot,clstot,tchtot,tchftot,enrgtot,pcmtch,pcftch,total_population,overall_literacy,female_literacy,male_literacy,class_room_gc,class_room_nminorr,class_room_nmajorr,teacher_eduqualification_bs,teacher_eduqualification_s,teacher_eduqualification_hs,teacher_eduqualification_g,teacher_eduqualification_pg,teacher_eduqualification_mphil_,teacher_eduqualification_pd,teacher_eduqualification_no_res,tch_5556t,tch_5758t,tch_5960t,globalid,st_areashape,st_lengthshape
1,Uttarakhand,066,Nainital,1991,1938,1963,158884,35,171,1642,1358,1633,1814,1830,1966,1658,779,436,1433,1421,35,10085,7672,4096,157,174,955128,84.85,78.21,91.09,6570,930,915,116,114,545,2380,6251,155,6,44,390,304,10,{66816607-F4E7-4332-9125-F86137BF69BA},5322546064.56978,506182.695951892
2,Uttarakhand,060,Dehradun,2449,2401,2427,281893,18,121,2008,1666,2233,2427,2388,2427,2233,1142,644,1439,1435,18,12948,4621,4179,99,107,1698560,85.24,79.61,90.32,11643,1226,1166,202,237,680,3387,7258,159,4,3,417,462,82,{44CF3CA3-15EE-4E54-8AE8-583A0287F221},4177235501.6584,578188.681638532
3,Uttarakhand,064,Almora,2241,2204,2229,89753,7,348,1468,1145,1893,2214,2195,2210,1320,566,454,1906,1905,7,7878,1264,4616,145,122,621927,81.06,70.44,93.57,4756,1199,1486,244,115,451,1467,5156,135,3,9,228,320,21,{906ED325-AE2F-4D44-87DD-5198CD7BF827},4140751140.84005,463454.225766054
4,Uttarakhand,065,Champawat,854,845,850,44852,6,19,628,488,650,850,843,801,489,318,260,713,713,6,3676,5989,2412,189,91,259315,80.73,68.81,92.65,1944,434,531,18,33,233,896,2123,37,2,0,107,86,35,{6ECE23A7-CF4D-41CE-97A7-8F49EFAA7016},2294297183.86069,314508.010612439
5,Uttarakhand,056,Uttarkashi,1352,1341,1350,59660,28,91,835,638,1012,1332,1329,1239,822,410,370,1068,1062,28,5235,2447,3246,236,176,329686,75.98,62.23,89.26,2876,689,608,27,61,291,1027,2734,20,1,0,156,152,32,{EC5389F0-7BC7-47C8-A992-AB46C00854FF},10851662987.4372,786425.58897159
6,Uttarakhand,061,Garhwal,2676,2651,2658,98256,52,195,1814,1368,2235,2624,2594,2517,1729,724,294,2291,2289,52,11208,3678,6587,231,216,686527,82.59,73.26,93.18,5678,1472,1675,44,90,525,2242,7369,93,11,14,447,461,88,{D29C111B-9AE2-426A-8D6D-16A24F399104},7059351932.21831,481276.440387362
7,Uttarakhand,068,Hardwar,1913,1877,1901,342197,16,150,1806,1326,1724,1892,1788,1881,1666,769,738,989,986,16,9827,3669,4330,29,21,1927029,74.62,65.96,82.26,9624,1098,526,69,175,762,3385,4877,125,26,0,212,240,106,{F1770BD0-F662-4ACA-B4C9-E63CFF997E84},3073415496.70458,335407.004817253
8,Uttarakhand,058,Rudraprayag,986,979,985,39155,11,83,832,372,628,976,978,981,716,291,224,816,816,11,4268,3899,2879,178,144,236857,82.09,70.94,94.97,2221,368,480,9,35,187,849,2785,33,3,16,141,128,31,{65358607-46FA-40A6-92C9-2B90463BC35B},2616931450.87998,284252.236498995
9,Uttarakhand,059,Tehri Garhwal,2471,2457,2467,100349,26,68,1816,1363,1645,2377,2334,2321,1619,678,580,2052,2047,26,10513,8769,6614,132,123,616409,75.1,61.77,89.91,4844,1219,1500,78,134,661,2451,6592,101,1,0,361,272,171,{8E4EEAFF-5BF3-47D7-A5F0-3416171C8714},5288144933.5927,636391.921361006
10,Uttarakhand,063,Bageshwar,995,982,993,40231,5,147,653,392,695,970,948,942,732,378,277,822,822,5,3428,3262,2255,45,36,259840,80.69,69.59,93.2,2172,541,653,7,57,286,561,2290,25,1,1,112,131,81,{870F8D28-A4B7-46C0-A66C-544F0CFFB9F2},3040127187.2963,363633.040431869
11,Uttarakhand,062,Pithoragarh,1987,1968,1980,72897,35,93,1501,946,1518,1756,1889,1848,953,596,510,1629,1627,35,8673,1173,4995,348,288,485993,82.93,72.97,93.45,3913,1087,1460,60,116,710,2006,4820,67,4,12,267,317,150,{9002E096-B789-44C1-AD56-D5209166E6D0},9526095143.66741,722224.40716202
12,Uttarakhand,057,Chamoli,1640,1619,1633,60609,11,46,1206,1223,1329,1623,1613,1616,660,427,397,1390,1390,11,7023,1389,4576,243,186,391114,83.48,73.2,94.18,3392,887,1027,5,43,260,1414,4730,84,10,1,227,166,72,{45A72A03-4B78-4065-883C-7404E1CC3357},10635391810.2768,604805.933671709
13,Uttarakhand,067,Udham Singh Nagar,2105,2055,2078,323937,9,26,2005,1483,1910,2011,1997,2087,1917,832,728,1189,1187,9,14612,5497,6940,125,195,1648367,74.44,65.73,82.48,10045,1009,813,130,207,1187,4606,7191,183,9,42,408,429,279,{DF294366-7DF5-42E1-840F-4CBFEA15E678},3341594516.43155,656833.42395909
14,Himachal Pradesh,030,Bilaspur,1025,1023,1023,48481,19,57,861,908,488,1023,1023,1025,1013,323,211,843,843,19,5517,4353,2993,482,301,382056,85.67,78.9,92.39,3040,647,423,0,512,314,1351,2068,132,0,0,144,1,1,{700CB42C-1DDF-4955-8520-1A0314CD131F},1607588687.09609,256604.217424928
