"","PercentageValues.Total.No.Of.Schools","PercentageValues.Schools.Approachable.By.Road.in.All.Weather","PercentageValues.Washrooms.For.Both","PercentageValues.Playground.Facilitated.Schools","PercentageValues.Boundarywall.Facilitated.Schools","PercentageValues.Drinking.Water.Facilitated.Schools","PercentageValues.Electricity.Facilitated.Schools","PercentageValues.Computer.Facilitated.Schools","PercentageValues.Mid.Day.Meal.Facilitated.Schools","PercentageValues.Total.Teachers"
"1",100,82.4711200401808,83.0236062280261,68.2069311903566,82.0190858864892,98.7443495730789,83.2747363134103,39.1260673028629,71.97388247112,506.52938221999
"2",100,81.9926500612495,96.6108615761535,68.0277664352797,91.1800734993875,99.1016741527154,91.1800734993875,46.6312780726827,58.7586770110249,528.705594120049
"3",100,65.5064703257474,96.7425256581883,51.0932619366354,84.471218206158,98.6166889781348,58.9022757697456,25.2565818830879,85.0513163766176,351.539491298527
"4",100,73.536299765808,98.2435597189695,57.1428571428571,76.1124121779859,93.7939110070258,57.2599531615925,37.2365339578454,83.4894613583138,430.444964871194
"5",100,61.7603550295858,96.8195266272189,47.189349112426,74.8520710059172,91.6420118343195,60.7988165680473,30.3254437869822,78.9940828402367,387.204142011834
"6",100,67.7877428998505,94.9925261584454,51.1210762331839,83.5201793721973,94.0582959641256,64.6113602391629,27.0553064275037,85.6128550074738,418.834080717489
"7",100,94.4066910611605,92.3680083638264,69.315211709357,90.1202300052274,98.3272347098798,87.0883429168845,40.1986408782018,51.6989022477784,513.695765812859
"8",100,84.3813387423935,98.1744421906694,37.7281947261663,63.6916835699797,99.4929006085193,72.6166328600406,29.5131845841785,82.7586206896552,432.860040567951
"9",100,73.4925131525698,90.6515580736544,55.1598543099959,66.5722379603399,93.9295831647106,65.5200323755565,27.4382840955079,83.0433023067584,425.455281262647
"10",100,65.6281407035176,92.7638190954774,39.3969849246231,69.8492462311558,94.6733668341709,73.5678391959799,37.9899497487437,82.6130653266332,344.522613065327
"11",100,75.5410166079517,83.4423754403624,47.6094614997484,76.3965777554102,93.0045294413689,47.961751383996,29.9949672873679,81.9828887770508,436.487166582788
"12",100,73.5365853658537,97.3170731707317,74.5731707317073,81.0365853658537,98.5365853658537,40.2439024390244,26.0365853658537,84.7560975609756,428.231707317073
"13",100,95.249406175772,90.4038004750594,70.4513064133017,90.7363420427554,99.144893111639,91.0688836104513,39.5249406175772,56.4845605700713,694.1567695962
"14",100,84,99.609756097561,88.5853658536585,47.609756097561,100,98.8292682926829,31.5121951219512,82.2439024390244,538.243902439024
