objectid,State Name,District Name,District Code,Total households,Number of households with salaried jobs,Number of housesolds salaried with government Job,Number of housesolds salaried with Public Jobs,Number of housesolds salaried with private job,Professional/Income Tax Payees,Number of households SelfEmployed,Income of Highest Earning Member < 5k,Income of Highest Earning Member between 5k and 10k ,Income of Highest Earning Member > 10k,lowincome,Income < 10k,globalid,st_areashape,st_lengthshape
1,Uttarakhand,Nainital,066,117469,28223,13526,3819,10878,10706,10720,72576,24555,20338,117469,97131,{4D53D196-B8CE-45A5-BE9D-C077EBD39A14},5322546064.56978,506182.695951892
2,Uttarakhand,Dehradun,060,165649,65216,34317,4303,26596,27766,13656,81092,39671,44886,165649,120763,{6CFE2946-EC6E-450C-8641-36604689F8E0},4177235501.6584,578188.681638532
3,Uttarakhand,Almora,064,125275,26974,14772,1935,10267,7087,5104,91822,20342,13111,125275,112164,{8EB7B95A-0CA2-4194-8AD0-65B115C54BAF},4140751140.84005,463454.225766054
4,Uttarakhand,Champawat,065,44150,7310,4972,323,2015,2978,2342,32282,6194,5674,44150,38476,{E1A0EBA8-6DFC-44A3-A1E6-8BDA708FE6A8},2294297183.86069,314508.010612439
5,Uttarakhand,Uttarkashi,056,64836,9465,7592,407,1466,3359,2179,51936,5870,7030,64836,57806,{E1138EF1-6BFB-4C90-BF45-671E39F06C49},10851662987.4372,786425.58897159
6,Uttarakhand,Garhwal,061,140122,35025,23017,2812,9196,12929,3936,82910,33446,23766,140122,116356,{25351CDD-BAA7-4C9C-8E7C-5AD8F7E2DA72},7059351932.21831,481276.440387362
7,Uttarakhand,Hardwar,068,231792,36676,11694,4802,20180,11110,10599,145008,62574,24210,231792,207582,{91572970-A871-4C3E-A9EA-6AB18E439EE6},3073415496.70458,335407.004817253
8,Uttarakhand,Rudraprayag,058,48830,11037,6291,1114,3632,4082,1103,26240,15294,7296,48830,41534,{7350D8DD-04C3-443C-988E-DDE8A1F1A23F},2616931450.87998,284252.236498995
9,Uttarakhand,Tehri Garhwal,059,119766,31554,10682,2832,18040,5598,4568,84962,23324,11480,119766,108286,{DBB2F33E-2AD1-4C28-9279-FB0AE98B563E},5288144933.5927,636391.921361006
10,Uttarakhand,Bageshwar,063,53420,15998,8362,1122,6515,3211,2089,35456,11211,6753,53420,46667,{CF04E558-89EC-441C-BDE4-B3ED31E22346},3040127187.2963,363633.040431869
11,Uttarakhand,Pithoragarh,062,91906,26197,18798,1042,6357,5596,4738,57746,18181,15979,91906,75927,{F237ADD1-0DFA-48F4-A37D-74B3D39399CC},9526095143.66741,722224.40716202
12,Uttarakhand,Chamoli,057,70323,18926,14630,1102,3194,4508,2171,42243,17022,11058,70323,59265,{D08B4822-EFBB-4350-B91B-2A46C6C5FB64},10635391810.2768,604805.933671709
13,Uttarakhand,Udham Singh Nagar,067,206204,37708,15426,4022,18260,11393,12624,134083,45854,26267,206204,179937,{F023CAC2-2F66-4252-9230-B221206CD139},3341594516.43155,656833.42395909
14,Himachal Pradesh,Una,029,97451,34841,19120,1647,14074,11460,13888,49348,24638,23465,97451,73986,{A962711E-424A-4E62-8CF3-9ABA7D3B9161},2129811006.48106,254331.630512134
