objectid,District.Name
1,Nainital
2,Dehradun
3,Almora
4,Champawat
5,Uttarkashi
6,Garhwal
7,Hardwar
8,Rudraprayag
9,Tehri Garhwal
10,Bageshwar
11,Pithoragarh
12,Chamoli
13,Udham Singh Nagar
14,Bilaspur
15,Kangra
16,Lahul & Spiti
17,Mandi
18,Narmada
19,Amreli
20,Dohad
21,Rajkot
22,Kachchh
23,Ujjain
24,Rewa
25,Dindori
26,Balaghat
27,Barwani
28,Satna
29,Chhatarpur
30,Indore
31,Ratlam
32,Shahid Bhagat Singh Nagar
33,Una
34,Solan
35,Sirmaur
36,Kinnaur
37,Kathua
38,Kargil
39,Kishtwar
40,Tapi
41,Harda
42,Kullu
43,Chamba
44,Shimla
45,Hamirpur
46,DATA NOT AVAILABLE
47,Anantnag
48,Baramula
49,Kulgam
50,Shupiyan
51,Reasi
52,Rajouri
53,Jammu
54,Leh(Ladakh)
55,Srinagar
56,Doda
57,Pulwama
58,Banas Kantha
59,Surendranagar
60,Anand
61,Ramban
62,Ganderbal
63,Udhampur
64,Badgam
65,Punch
66,Kupwara
67,Samba
68,Bandipore
69,Daman
70,Diu
71,Bhavnagar
72,Ahmadabad
73,Chhota Udaipur
74,Batod
75,Vadodara
76,Aravali
77,Sabar Kantha
78,The Dangs
79,Mahesana
80,Patan
81,Bharuch
82,Gir Somnath
83,Junagadh
84,Devbhumi Dwarka
85,Navsari
86,Surat
87,Jamnagar
88,Porbandar
89,Valsad
90,Gandhinagar
91,Mahisagar
92,Morbi
93,Panch Mahals
94,Kheda
95,Narsimhapur
96,Panna
97,Dadra & Nagar Haveli
98,Ashoknagar
99,Raisen
100,Chhindwara
101,Betul
102,Hoshangabad
103,Sehore
104,Jabalpur
105,Sagar
106,Neemuch
107,Tikamgarh
108,Guna
109,Dewas
110,Mandsaur
111,Khargone (West Nimar)
112,Sheopur
113,Morena
114,Bhind
115,Jhabua
116,Seoni
117,Khandwa (East Nimar)
118,Umaria
119,Gwalior
120,Damoh
121,Dhar
122,Katni
123,Sidhi
124,Alirajpur
125,Singrauli
126,Bhopal
127,Rajgarh
128,Mandla
129,Shajapur
130,Shivpuri
131,Datia
132,Vidisha
133,Prakasam
134,Krishna
135,East Godavari
136,Burhanpur
137,Anuppur
138,Shahdol
139,Visakhapatnam
140,Sri Potti Sriramulu Nellore
141,Chittoor
142,Srikakulam
143,Kurnool
144,Guntur
145,Vizianagaram
146,Anantapur
147,West Godavari
148,Kadapa(YSR)
149,Kannur
150,Pathanamthitta
151,Alappuzha
152,Ernakulam
153,Kollam
154,Kasaragod
155,Idukki
156,Kozhikode
157,Kottayam
158,Thrissur
159,Palakkad
160,Thiruvananthapuram
161,Malappuram
162,Wayanad
163,Lakshadweep
164,North District
165,Dakshin Dinajpur
166,Murshidabad
167,Saraikela-Kharsawan
168,Simdega
169,Latehar
170,South District
171,West District
172,East District
173,Nadia
174,Kolkata
175,Maldah
176,South Twenty Four Parganas
177,Darjiling
178,Jalpaiguri
179,Uttar Dinajpur
180,Purba Medinipur
181,Haora
182,North Twenty Four Parganas
183,Birbhum
184,Barddhaman
185,Bankura
186,Puruliya
187,Koch Bihar
188,Paschim Medinipur
189,Hugli
190,Jamtara
191,Khunti
192,Pashchimi Singhbhum
193,Hazaribagh
194,Chatra
195,Purbi Singhbhum
196,Kodarma
197,Giridih
198,Lohardaga
199,Sahibganj
200,Godda
201,Palamu
202,Gumla
203,Ramgarh
204,Garhwa
205,Dhanbad
206,Dumka
207,Bokaro
208,Deoghar
209,Ranchi
210,Pakur
211,Arwal
212,Bhagalpur
213,Purnia
214,Madhepura
215,Kishanganj
216,Gaya
217,Banka
218,Aurangabad
219,Nawada
220,Araria
221,Pashchim Champaran
222,Muzaffarpur
223,Saran
224,Sheikhpura
225,Jehanabad
226,Saharsa
227,Gopalganj
228,Vaishali
229,Siwan
230,Sheohar
231,Buxar
232,Madhubani
233,Supaul
234,Patna
235,Bhojpur
236,Darbhanga
237,Samastipur
238,Kaimur (Bhabua)
239,Rohtas
240,Khagaria
241,Munger
242,Sitamarhi
243,Purba Champaran
244,Lakhisarai
245,Jamui
246,Begusarai
247,Nalanda
248,Katihar
249,West
250,New Delhi
251,Sonipat
252,Karnal
253,Kurukshetra
254,Jind
255,East
256,South
257,North West
258,South West
259,Panipat
260,Mahendragarh
261,Fatehabad
262,Faridabad
263,Sirsa
264,Hisar
265,Rewari
266,Rohtak
267,Ambala
268,Central
269,Chandigarh
270,Mandya
271,Mysore
272,Chikkaballapura
273,Yadgir
274,Chikmagalur
275,Chitradurga
276,Haveri
277,North East
278,Kapurthala
279,Fatehgarh Sahib
280,Sangrur
281,Mansa
282,Amritsar
283,Dakshina Kannada
284,Raichur
285,Kolar
286,Bijapur
287,North
288,Gurgaon
289,Yamunanagar
290,Palwal
291,Panchkula
292,Mewat
293,Jhajjar
294,Bhiwani
295,Kaithal
296,Pathankot
297,Gurdaspur
298,Patiala
299,Tarn Taran
300,Faridkot
301,Ludhiana
302,Bathinda
303,Jalandhar
304,Hoshiarpur
305,Rupnagar
306,Firozpur
307,Fazilka
308,Uttara Kannada
309,Davanagere
310,Dharwad
311,Bidar
312,Chamarajanagar
313,Muktsar
314,Moga
315,Sahibzada Ajit Singh Nagar
316,Barnala
317,Gulbarga
318,Gadag
319,Udupi
320,Bagalkot
321,Hassan
322,Shimoga
323,Bellary
